question,document
"If a provider doesn’t have its own Kestra plugin, can I still connect it by using a custom base URL?",f442efe5b4
"Is there a way to build a Kestra flow without editing YAML by hand, like a form or no-code screen?",bfe5502c30
Can I use an AI assistant to create a Kestra workflow from plain English and then tweak it afterward?,bfe5502c30
Do tools like Claude Code or Codex work with Kestra so I can generate flows from my editor instead of the UI?,bfe5502c30
How is Kestra different from Airflow when it comes to where the Python code lives and what the workflow definition does?,bfe5502c30
"For really simple automations, would Zapier or n8n be a better choice than Kestra?",bfe5502c30
"Why does ChatGPT sometimes invent Kestra plugin fields like bucket or name instead of the real ones, and how do I stop that?",93a3e8b98c
How can I make sure the YAML an AI gives me for a Kestra flow actually matches the plugin docs for my version?,93a3e8b98c
"For the GCS Upload step in Kestra, is the target set with bucket and name or with a single to field?",93a3e8b98c
"In Kestra BigQuery load from GCS, do I need projectId, dataset, and table separately, or should I use destinationTable?",93a3e8b98c
What’s the safest way to validate AI-generated Kestra YAML so it doesn’t break because of wrong plugin properties?,93a3e8b98c
Why should I track token usage in a Kestra workflow if the LLM call already works fine?,a4adc70f41
How does monitoring tokens help me keep LLM costs under control in scheduled or looping flows?,a4adc70f41
Can token counts in Kestra be used to figure out where my prompt is too long or wasteful?,a4adc70f41
What is the point of setting limits or alerts on token usage in an orchestration flow?,a4adc70f41
How do I get the token usage from an LLM response and use it in logs or metrics in Kestra?,a4adc70f41
"Why does Docker Desktop say mounts denied when I try to run Kestra, and how can I let it use the /tmp folder?",dd8b4c9fda
I’m getting the error that /tmp/... is not shared from the host in Docker Desktop. What setting do I need to change?,dd8b4c9fda
How do I stop Docker from blocking a bind mount to something like /tmp/kestra-wd when starting Kestra?,dd8b4c9fda
Where in Docker Desktop can I add /tmp to the allowed shared folders so the container can mount it?,dd8b4c9fda
"After I fix the file sharing permission in Docker Desktop, do I need to rerun docker compose up -d for Kestra?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly should I upload to the public repo if I did everything in the Kestra UI?",f29f622684
"Do I need to commit the Kestra flow YAML files only, or should I also include any scripts the flows use?",f29f622684
"The homework submission asks for a GitHub repo link, but my work was done inside Kestra—what should I put there?",f29f622684
"Is a README required for the Module 3 homework repo, or is it enough to include the flow files?",f29f622684
"Where should I place the Kestra homework files in the repo, and do I still need to fill the Q1, Q2 answers in the form?",f29f622684
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output as JSON?,a3c7e1b4f9
How do I make the model return only valid JSON instead of wrapping it in a code block or adding extra text?,a3c7e1b4f9
What is the easiest way to use `json.loads(...)` safely when generating ground-truth questions with an LLM?,a3c7e1b4f9
What should I put in the prompt so the model outputs exactly a JSON object with a `questions` list?,a3c7e1b4f9
"Does OpenAI have a setting for forcing JSON output, and is there something similar for Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter notebook kernel keep crashing when I try to embed the ground-truth set?,b8f2d6a30c
Is this memory issue common on Codespaces or low-RAM laptops when loading an embedding model?,b8f2d6a30c
What’s the easiest workaround if the notebook runs out of RAM during evaluation embeddings?,b8f2d6a30c
"Can I use a smaller embedding model like all-MiniLM-L6-v2 to avoid the crash, and do I need to rerun metrics after switching?",b8f2d6a30c
Would it help to move the embedding code into a separate script or process the dataset in batches to save memory?,b8f2d6a30c
Why am I still getting rate limit errors with Gemini even after adding a 4 second sleep between calls?,c1e9f4b820
What's the best fallback if I keep hitting free-tier Gemini quotas while building the ground-truth data?,c1e9f4b820
Is it okay to switch to another model like gpt-4o-mini or Groq when the evaluation dataset generation gets blocked by limits?,c1e9f4b820
How can I reduce API pressure in my thread pool so I don't run into limits so fast?,c1e9f4b820
What's a good way to save progress during a long tqdm loop so I can continue after a quota error without starting over?,c1e9f4b820
How do I fix the WinError 126 error when torch can't load fbgemm.dll on Windows?,15e931476c
"Is installing the Visual C++ Redistributable enough to solve the ""specified module could not be found"" error in Python?",15e931476c
"Do I need full Visual Studio for the fbgemm.dll missing dependency issue, or is Visual Studio Code enough?",15e931476c
"Why am I getting ""Error loading fbgemm.dll or one of its dependencies"" after installing PyTorch on Windows?",15e931476c
What should I install on Windows to get rid of the torch\lib\fbgemm.dll import error?,15e931476c
"I’m getting `could not translate host name ""postgres"" to address` when I run `python prep.py`. What should I change to fix the psycopg2 OperationalError?",4b65d5542d
"Why does `prep.py` fail with `No such host is known` for `postgres`, and how do I make it work locally?",4b65d5542d
What’s the right `POSTGRES_HOST` value in the `.env` file if `python prep.py` can’t resolve `postgres`?,4b65d5542d
How do I solve the psycopg2 connection error where the host `postgres` can’t be found while running the prep script?,4b65d5542d
"My setup throws `OperationalError: could not translate host name ""postgres"" to address`. What env setting should I update?",4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the complete Explanation from the judge LLM in the table?",641aedbbf5
"Why does Pandas only show part of a long text column, and how do I disable that?",641aedbbf5
What setting do I need to change so a long string in a DataFrame displays fully?,641aedbbf5
How can I stop Pandas from truncating column values with ... in the output?,641aedbbf5
How can I normalize vector values stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to normalize each vector in a Pandas Series using Python?,5039707c1a
Can I use apply with NumPy to normalize vectors inside a DataFrame column?,5039707c1a
How do I create a new column with normalized vectors from an existing one in Pandas?,5039707c1a
Is there a quick lambda function for normalizing array-like items in a Pandas column?,5039707c1a
How do I get the 75th percentile of a Pandas DataFrame column?,b4c8ac5a0c
What’s the easiest way to compute a 0.75 quantile for a Pandas Series?,b4c8ac5a0c
How can I find the percentile value for a column in Pandas?,b4c8ac5a0c
Is there a simple Pandas method to calculate a column’s quantile?,b4c8ac5a0c
How do I use the quantile function in Pandas to get the 75% value?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What command can I use to force-remove all Docker images on my machine?,66ccbb7da0
Is there a terminal command to delete all Docker volumes at once?,66ccbb7da0
"How can I clean my Docker setup by removing every container, image, and volume in one go?",66ccbb7da0
"What’s the fastest way from the command line to clear out all Docker resources, including running containers?",66ccbb7da0
"How can I make sure a user can only leave feedback once per submission, like just +1 or -1?",2e729f1271
Why does `st.session.submitted` keep getting set back to True even after I press one of the feedback buttons?,2e729f1271
Is there a fix for disabling the feedback buttons after the ask button submits the text?,2e729f1271
What should I do if my Streamlit session state value gets reassigned unexpectedly after a button click?,2e729f1271
Where can I find the solution for the Streamlit session attribute being reassigned issue?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What should I check first if docker-compose fails to launch my Streamlit container with that OCI runtime error?,e8df9f0d12
"Do I need a Dockerfile for a Streamlit app in docker-compose, or is compose config alone enough?",e8df9f0d12
"How can I fix a Streamlit app that runs outside Docker but crashes inside docker-compose with ""exec: streamlit"" not found?",e8df9f0d12
"After adding Streamlit to docker-compose, do I need to rebuild the containers, and what command should I use?",e8df9f0d12
"Can I do the capstone with a partner, or does each person need their own project?",0fab61eca2
"If a few of us work on one bigger idea, is that allowed for the capstone?",0fab61eca2
Could we submit a shared system as long as everyone has a separate repo and part to evaluate?,0fab61eca2
"Does the capstone have to be an individual submission, or can it be team-based?",0fab61eca2
What happens if our work can’t be graded separately for each person?,0fab61eca2
"Do we have to submit two capstone projects, or is it just one project with attempt 1 and attempt 2 being resubmission windows?",d5fc98925d
"If my first capstone submission gets rejected, can I fix it and send the same project again in the second window?",d5fc98925d
I missed the attempt 1 deadline for the capstone project — can I still submit in attempt 2 and be okay?,d5fc98925d
"If I decide to submit two projects just for practice, do they need to be based on different datasets and different problem statements?",d5fc98925d
Does my project submission count for certification if I don’t do the peer review of three classmates in my cohort?,d5fc98925d
"Is the competition considered the capstone project, or are they separate things?",e892d44e42
Can I use the math-kaggle-llm-competition as my capstone for the course?,e892d44e42
"If I join the competition, does that still mean I have to do the capstone on my own?",e892d44e42
"Are teams allowed for the capstone project, or only for the competition?",e892d44e42
What's the difference between the competition and the capstone in this course?,e892d44e42
How will my capstone project be graded in the course?,9a2e2d2008
Who checks the submitted capstone projects?,9a2e2d2008
Do I also need to review other students’ projects for the capstone?,9a2e2d2008
What happens if I don’t grade three classmates’ projects?,9a2e2d2008
Is the final capstone score based on all reviewers or some kind of average?,9a2e2d2008
"After the project submission deadline, how are the review assignments usually shared out?",eae0fb50aa
Will each person get three projects to grade once submissions are closed?,eae0fb50aa
When do we find out which capstone projects we need to review?,eae0fb50aa
How is the grading assignment handled after the deadline passes?,eae0fb50aa
What happens with project review assignments after everyone submits?,eae0fb50aa
"I already turned in my capstone project, but I still can’t see anything to review. When do the projects actually get assigned for evaluation?",a8a7fef016
Why am I not able to pick the projects I want to review in the capstone? Is it random?,a8a7fef016
"Can I start reviewing other students’ projects before the project list is released, or do I have to wait?",a8a7fef016
"I submitted my project already—does that mean I should be able to review others right away, or only after the deadline passes?",a8a7fef016
"In the capstone project, who decides which submissions I evaluate, and can I choose a different one if I want?",a8a7fef016
Where can I find a few project ideas and datasets for the capstone project?,e76a70cde3
Is there a GitHub page with suggestions and datasets I can use for the project?,e76a70cde3
What’s the best place to look for ideas and data sources for the LLM Zoomcamp project?,e76a70cde3
Do you have any tips or guidelines plus example datasets for the capstone project?,e76a70cde3
"Can you point me to a page with project ideas, datasets, and some guidance?",e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script okay?",d4f7c08ea1
"For the ingestion pipeline part of the capstone, can I get full points without using an orchestrator?",d4f7c08ea1
"If I build the capstone ingestion flow in a Jupyter notebook, how is that scored compared with a Python script?",d4f7c08ea1
When would it make sense to use an orchestration tool in the capstone instead of just writing a script?,d4f7c08ea1
"Should I add an orchestrator only to satisfy the capstone rubric, or is it optional unless my project really needs it?",d4f7c08ea1
How can I evaluate a recommender-style RAG when there’s no clear ground-truth Q&A set?,9b0e2d6a47
What’s a good way to create synthetic test queries for retrieval evaluation in my project?,9b0e2d6a47
How do I use an LLM as a judge to score end-to-end RAG quality?,9b0e2d6a47
"For ranking-type RAG systems, should I use hit rate or NDCG?",9b0e2d6a47
"If multiple items could be acceptable, how do I measure whether my retriever is actually good?",9b0e2d6a47
"For a huge PDF corpus, should I just use one chunking method or try a few different ones?",6f2a8b3d10
What’s a good first chunk size and should I keep any overlap when splitting long docs?,6f2a8b3d10
Is it worth using an LLM to break documents into sections instead of plain fixed chunks?,6f2a8b3d10
"Would adding a short summary to each chunk help retrieval, and how would I use it?",6f2a8b3d10
"If my docs are long and structured, should I combine BM25 with embeddings so exact terms don’t get lost?",6f2a8b3d10
"For the capstone project, what exactly counts as reproducible — do I need to let a reviewer use my own API keys?",e5d8a2c761
How should I set up the repo so someone can rerun the project from scratch without my credentials?,e5d8a2c761
Do I need to include a script or notebook that rebuilds the index and loads the data again?,e5d8a2c761
What’s the right way to handle secrets in the project repo — should I commit a `.env` file or just a template?,e5d8a2c761
Should I pin package versions and mention the Python or Docker version so the project can be checked more easily?,e5d8a2c761
Can I do the homework and capstone in JavaScript or another language instead of Python?,ea815eb858
"Is it okay to use Go, Rust, Java, Scala, C#, or R for the final project if I really want to?",ea815eb858
"If I skip Python and build the project with a different stack, what should I put in the README so it can still be reviewed?",ea815eb858
Do you expect the reviewer to know my language or framework if I submit something that isn't Python?,ea815eb858
What kind of install and run instructions do I need to give for a non-Python homework or project submission?,ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with older LLM Zoomcamp project submissions I can check out?,930286278d
Can I view previous capstone project repos from this course somewhere?,930286278d
Do you have links to project examples from the 2024 and 2025 LLM Zoomcamp cohorts?,930286278d
I want to understand the expected level for the capstone — where can I find submitted projects?,930286278d
Do I have to announce my capstone project idea before I start working on it?,897a350476
"Is there any need to reserve a project topic in the LLM Zoomcamp capstone, or can I just begin?",897a350476
"Can I pick a project that’s similar to someone else’s, or does it need to be totally unique?",897a350476
"If I’m unsure about my capstone idea, where should I ask for feedback?",897a350476
Are there examples of previous capstone projects I can check to judge whether my idea is in the right scope?,897a350476
Can I build my capstone project as a Telegram bot or WhatsApp bot instead of a web app?,7318a90b14
"Is it okay to use a CLI, Slack app, or even a notebook as the user interface for the project?",7318a90b14
Are there any strict rules about how the project should be presented to the end user?,7318a90b14
"Will the course show me how to create these interfaces, or do I need to handle that part myself?",7318a90b14
"As long as my project passes the evaluation criteria, can I choose whatever interface fits my idea best?",7318a90b14
What’s a good tool to pull text out of PDFs for a RAG project?,d8b28c47a0
"If my PDFs are scanned images, what should I use for OCR before building RAG?",d8b28c47a0
"Do we have to use a specific PDF parser in the capstone, or can we pick whatever works best?",d8b28c47a0
Which libraries are people using to turn PDFs into Markdown or JSON for RAG?,d8b28c47a0
Is there an API-based OCR option I can use instead of running Tesseract locally?,d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
"Since dlt is open source, does that mean I’m allowed to use the workshop materials in other projects too?",d850a0e7ea
Would it be okay to apply what we learned here to something like an MLOps Zoomcamp project?,d850a0e7ea
"Are we free to ask questions about using this workshop stuff in our own work, or should it stay limited to the workshop?",d850a0e7ea
Can I take the ideas from this data ingestion workshop and use them directly in a separate project of mine?,d850a0e7ea
How do I start a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a dlt filesystem project with DuckDB?,6bceeebf04
I'm trying to set up dlt for a cloud load source — what's the first command?,6bceeebf04
How can I create a new dlt project using the filesystem and duckdb template?,6bceeebf04
Where do I begin if I want to init a dlt project for loading from files in the cloud?,6bceeebf04
"Why do I get FileNotFoundError when I run `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name, but the pipeline still says `employee_handbook` — what did I miss?",0407213397
How do I fix the issue where `db.create_table` complains the `notion_pages___homework` table doesn't exist?,0407213397
Is the problem caused by not replacing every `employee_handbook` reference with `homework` in the dlt setup?,0407213397
What should I check in my pipeline settings if opening `notion_pages___homework` fails?,0407213397
Why am I getting FileNotFoundError saying notion_pages___homework doesn’t exist when I run main()?,e95bfafc0e
What should I change if db.create_table keeps complaining about the table not existing?,e95bfafc0e
"In the dlt workshop homework, what table name am I supposed to open in line 3?",e95bfafc0e
I can run the script but it fails on the table step — how do I fix the Notion pages homework table error?,e95bfafc0e
"Is the issue with main() coming from opening the wrong table, and what’s the correct db.open_table call?",e95bfafc0e
How can I see what tables exist in the database?,e394e6f738
Is there a way to list all db tables with dlt?,e394e6f738
What method should I call to get the table names from the database?,e394e6f738
How do I check which tables were created in the db?,e394e6f738
Can I print out every table name in the database somehow?,e394e6f738
"Does DLT currently support a connector for ClickHouse, or is that still missing?",cd19f122f3
"Can I use DLT with StarRocks right now, or do I need a custom setup?",cd19f122f3
"Are there built-in connectors in DLT for ClickHouse and StarRocks, or not yet?",cd19f122f3
"If DLT doesn’t support ClickHouse or StarRocks, can the community add them?",cd19f122f3
Is there any plan or option to get ClickHouse or StarRocks connectors in DLT through contributions?,cd19f122f3
"Why am I getting a 401 Unauthorized when the notebook calls Notion search, and how do I fix the auth issue?",0dfba07ace
"I keep seeing ""no secret access"" in the notebook for the Notion API — what should I check first?",0dfba07ace
What usually causes a Client Error 401 from api.notion.com/v1/search in this workshop notebook?,0dfba07ace
My Notion token seems to fail in the notebook. Could it be expired or missing the right permissions?,0dfba07ace
"When the notebook can’t access Notion secrets, what settings or endpoint details should I verify?",0dfba07ace
How do I install the exact requests version lancedb needs if pip keeps giving me 2.28?,4b30b918bc
What’s the easiest way to force requests v2.32.3 from GitHub instead of the older pip package?,4b30b918bc
I’m getting a 401 Client Error while working with this setup — could it be a bad key or missing access?,4b30b918bc
Is there a command to grab requests straight from the psf GitHub tag so lancedb works correctly?,4b30b918bc
"Why does pip install requests but still not give the version required here, and how do I fix it?",4b30b918bc
