question,answer_agent,answer_orig,tool_calls,cost,document
Can the homework content still change even if I already see it posted?,"Yes — the homework can still change until it’s officially ready.

According to the FAQ, homework is considered ready only when **both** of these are true:
- the homework form is open on the course platform, and
- the homework title **does not** contain `[DRAFT]`.

If it’s still marked `[DRAFT]`, then the content may still be updated, even if you can already see it posted. Working on it early is at your own risk because the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework content still change already posted""}'}]",0.00139875,96286b4be4
When is the next time this course will run?,The course will run next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next time this course will run course schedule next offering""}'}]",0.00080475,bd31146b0e
Do you know when llm-zoomcamp will be offered again?,Yes — the FAQ says **llm-zoomcamp will next be offered in Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""llm-zoomcamp when will it be offered again next cohort schedule""}'}]",0.00085125,bd31146b0e
What term is the next offering of the course planned for?,The next offering of the course is planned for **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next offering of the course planned for term""}'}]",0.00121275,bd31146b0e
Is there a date for the next course session yet?,The next course offering is scheduled for **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next course session date""}'}]",0.00080325,bd31146b0e
When should I expect the course to come back?,The course is next expected to be offered in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""course come back when return after maintenance downtime when will course be back""}'}]",0.0007935,bd31146b0e
Where do I find the course lectures and videos for LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo — each lesson page has the relevant **videos linked at the top**.

If you’re unsure, follow the **GitHub repo first**, since it’s usually more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp lectures videos course lectures videos where find""}'}]",0.00128475,31456f4b5f
Is there a main place I should open first to get to the lesson videos?,"Yes — the main place to open first is the **LLM Zoomcamp GitHub repository**. That’s the recommended entry point for the lesson materials, and each lesson folder/page has the relevant video links at the top.

If you want, I can also point you to the course docs and the typical weekly workflow.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""main place open first lesson videos""}'}]",0.00115425,31456f4b5f
Do the lesson pages in the GitHub repo include the video links at the top?,"Yes. The FAQ says to open the lesson folders in the GitHub repo, and each lesson page has the relevant video links at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""lesson pages GitHub repo include video links at the top""}'}]",0.0012285,31456f4b5f
Should I use the GitHub repository or the YouTube playlist as the primary source for course videos?,"Use the **LLM Zoomcamp GitHub repository** as the primary source.

The FAQ says to:
- use the GitHub repo as the **main entry point**
- open the lesson folders there, where the relevant videos are linked
- follow the repo first if there’s any doubt, since it’s **easier to keep updated** than the YouTube playlist

So: **GitHub repo first, YouTube playlist second.**","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""GitHub repository YouTube playlist primary source course videos""}'}]",0.00140625,31456f4b5f
"If I'm lost, what's the best place to check for the latest lecture links?","The best place to check is the course GitHub repo and the course management platform. In general, the GitHub materials are the most reliable for up-to-date links and instructions.

For the module materials, start here:
- Course repo cohort materials: https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag

If you’re asking about homework or related links, the GitHub instructions often have the latest details:
- Homework instructions: https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

If you want, I can also help you find the exact lecture page for your module.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""latest lecture links where to find lecture links if lost""}'}]",0.00159525,31456f4b5f
